src_id,zh,vi
1164,其中一些是在斯坦福大学完成的，但也有一些是在其他地方完成的，即鼻腔微生物群特别擅长清除细菌，,"trong đó một số được thực hiện tại Stanford, nhưng cũng ở những nơi khác, rằng microbiome mũi đặc biệt giỏi trong việc loại bỏ vi khuẩn,"
1165,它可以预防某些类型的感染。,Nó có thể ngăn ngừa một số loại nhiễm trùng.
1166,不要用嘴呼吸。,Không hít thở bằng miệng.
1166,你的鼻子比嘴巴更能有效地过滤病毒和细菌。,Mũi của bạn là bộ lọc tốt hơn nhiều cho vi-rút và vi khuẩn so với miệng.
1166,嘴巴包含某些结构特征，,"Miệng chứa một số đặc điểm cấu trúc,"
1168,原因有很多。,Vì nhiều lý do.
1169,因此，这本书确实有很多重量级人物，谈论了感染的增加。,"Vì vậy, thật sự có rất nhiều người có ảnh hưởng trong cuốn sách này nói về sự gia tăng nhiễm trùng."
1170,那是通过嘴巴呼吸时获得的，与通过鼻子呼吸相反。,"Đó là điều mà người ta nhận được khi thở bằng miệng, trái ngược với thở bằng mũi."
1170,当然，在剧烈运动时，人们会通过嘴巴呼吸，,"Bây giờ, tất nhiên, trong khi tập luyện nặng, người ta thở bằng miệng,"
1171,那并不一定不好。,Điều đó không nhất thiết là xấu.
1171,当一个人在吃饭或说话时，那并不一定不好。,"Khi một người đang ăn hoặc nói chuyện, điều đó không nhất thiết là xấu chút nào."
1171,我想这取决于你说的是什么。,Tôi đoán điều đó phụ thuộc vào những gì bạn đang nói.
1172,那只是一个玩笑。,Đó là một trò đùa.
1172,许多人有鼻子呼吸困难的问题。,Nhiều người gặp khó khăn trong việc thở bằng mũi.
1173,实际上，扩张鼻窦的最佳方法是通过鼻子呼吸。,Cách tốt nhất để giãn nở những xoang đó thực sự là thở bằng mũi.
1174,所以这可能需要一些时间，但鼻窦具有一定的可塑性。,"Vì vậy, nó có thể mất một chút thời gian, nhưng xoang có một số tính dẻo."
1174,因此，要成为鼻子呼吸者，而不是嘴巴呼吸者，这样可以抵抗更多的感染,"Và do đó, hãy là người thở bằng mũi, không phải là người thở bằng miệng, bạn sẽ chống lại nhiều bệnh nhiễm trùng hơn"
1175,你不断面临的。,mà bạn liên tục phải đối mặt.
1175,我应该提到，我们周围的环境中总是有各种各样的细菌、病毒和寄生虫在轰炸我们。,"Tôi nên đề cập rằng chúng ta luôn bị tấn công bởi các loại vi khuẩn, virus và ký sinh trùng khác nhau trong môi trường của chúng ta."
1176,当然，目标是增强你的免疫系统，这样你就可以抵御这些疾病，不会生病。,"Và mục tiêu, tất nhiên, là để tăng cường hệ thống miễn dịch của bạn, để bạn có thể kiểm soát những thứ này và không bị bệnh."
1176,事实上，有一篇论文发表了,"Trên thực tế, có một bài báo đã được xuất bản"
1177,在《细胞报告》杂志（细胞出版社期刊）上，一篇优秀的论文表明鼻腔微生物组中存在特定种类的微生物群，它们擅长抵抗感染。,"Trong Cell Reports, ""Tạp chí Cell Press"", một tạp chí xuất sắc cho thấy vi sinh vật mũi, nó có các loài vi sinh vật cụ thể rất giỏi trong việc chống lại nhiễm trùng."
1178,目前还没有直接证据表明鼻腔呼吸的特定模式与鼻腔微生物群之间存在直接联系，但该环境的氧合作用,"Chưa có liên kết trực tiếp nào được tìm thấy giữa các mô hình cụ thể của việc thở bằng mũi và microbiome mũi, nhưng sự oxy hóa của môi trường đó"
1180,闻食物的气味和吸入空气。,Để ngửi mùi thức ăn và đưa không khí vào.
1180,它也是一个积极的过滤器，过滤掉可能入侵你的东西。,Nó cũng là một bộ lọc hoạt động để loại bỏ những thứ có thể xâm nhập vào bạn.
1180,另一种方法是试图阻止不好的东西,Cách khác để cố gắng ngăn chặn những thứ xấu
1181,避免生病的建议是我母亲，当然还有我的母亲给我的，那就是在接触其他人后不要用手摸眼睛。,"Và để tránh bị bệnh, đó là lời khuyên mà mẹ bạn, và chắc chắn là mẹ tôi đã đưa cho tôi, đó là không chạm vào mắt sau khi chạm vào người khác."
1182,或者接触其他表面。,hoặc chạm vào các bề mặt khác.
1182,正如我之前提到的，我们倾向于下意识地这样做。,"Và như tôi đã đề cập trước đó, chúng ta có xu hướng làm điều này một cách vô thức."
1182,但避免这样做的原因是眼睛,Nhưng lý do để tránh làm điều đó là đôi mắt
1183,它们是许多细菌和病毒进入人体的主要途径。,Chúng là điểm vào chính của rất nhiều vi khuẩn và virus.
1184,还有眼泪和其他类似的东西。,và nước mắt và những thứ tương tự.
1184,如果你曾经注意到，当你早上醒来时，你的眼睛里会有睡意，你知道那种硬硬的东西,"Nếu bạn đã từng để ý khi thức dậy vào buổi sáng, bạn có một chút giấc ngủ trong mắt, bạn biết loại lớp vỏ cứng đó"
1185,你眼角或睫毛上的眼屎，其实是你在夜间成功战胜的细菌尸体。,"Vết đóng vảy ở khóe mắt hoặc trên lông mi của bạn, thứ mà bạn ngủ dậy thấy, thực chất là những vi khuẩn chết mà bạn đã chiến đấu thành công trong đêm."
1186,好的，那就是它。,"Được rồi, đó là nó."
1187,消灭那些细菌。,Chống lại những vi khuẩn đó.
1187,我知道这听起来有点恶心，但事实就是这样。,"Vì vậy, tôi biết điều đó nghe có vẻ hơi ghê tởm, nhưng đó là sự thật."
1187,所以你在擦拭战斗的伤亡。,"Vì vậy, bạn đang lau đi những thương vong của một trận chiến."
1188,你在晚上打架。,Bạn đã chiến đấu vào ban đêm.
1188,所以白天，你尽量不要把病毒和其他东西引入眼睛。,"Vì vậy, vào ban ngày, bạn không muốn đưa virus và những thứ khác vào mắt của mình càng nhiều càng tốt."
1188,它是主要的进入途径。,Đó là một vị trí chính của lối vào.
1189,这就是为什么人们在手术室等地方戴护目镜，是为了避免东西进入眼睛。,"Đây là lý do tại sao mọi người đeo kính bảo hộ trong các đơn vị phẫu thuật và những nơi tương tự, để cố gắng tránh bị những thứ gì đó vào mắt."
1190,非常非常重要。,"Rất, rất quan trọng."
1191,良好的肠道菌群的增殖。,Sự gia tăng của các vi khuẩn đường ruột tốt.
1192,在你全身范围内，每天摄入 2 到 4 份发酵食物，低糖发酵食物。,"Trên toàn bộ cơ thể của bạn, bạn nên ăn từ hai đến bốn khẩu phần mỗi ngày các loại thực phẩm lên men, thực phẩm lên men ít đường."
1192,我之前已经多次谈到过这个问题。,Tôi đã nói về điều này một vài lần trước đây.
1193,在播客节目中，但这些数据来自我在斯坦福大学医学院的同事贾斯汀·桑恩伯格的实验室。,"Trong podcast, nhưng đây là dữ liệu từ phòng thí nghiệm của đồng nghiệp Justin Sonnenburg của tôi tại Stanford Med."
1193,在那儿，我只是擦了擦眼睛。,"Và ở đó, tôi chỉ lau mắt."
1194,但是发表在《细胞》杂志上的一篇论文，这是一份绝对精彩的杂志，确实指出了这样一个事实，即当,"Nhưng một bài báo được công bố trên tạp chí ""Cell"", một tạp chí thực sự tuyệt vời, thực sự chỉ ra thực tế rằng khi"
1195,现在，你知道那些是什么，对吧？,"Bây giờ, bạn biết những thứ đó là gì rồi, phải không?"
1197,这并不会使这些细胞更容易受到攻击。,Điều này không làm cho các tế bào đó dễ bị tổn thương hơn.
1197,他们看到 IL-6 和 IL-1 以及其他一些细胞因子的减少的原因是，当人们拥有健康的肠道微生物组时，,"Lý do họ thấy sự giảm IL-6 và IL-1, cũng như một số cytokine khác, là bởi vì khi mọi người có hệ vi sinh đường ruột khỏe mạnh,"
1198,人体中受到外部感染而被感染的细胞较少，因此细胞发出“救命”的呼声的理由也较少。,Có ít tế bào hơn trong cơ thể bị nhiễm trùng từ bên ngoài và do đó ít lý do hơn để các tế bào kêu cứu.
1199,因为他们正在蓬勃发展，而不是遭受苦难。,"Bởi vì họ đang thịnh vượng, không phải đau khổ."
