src_id,zh,vi
213,步骤,Các bước
213,方法 1,Phương pháp 1
213,方法 1 的 3:,Phương pháp 1 của 3:
213,使用网络浏览器,Sử dụng trình duyệt web
213,1. 在移动设备上打开微信。,1. Mở WeChat trên thiết bị di động.
213,如果还没有在平板或手机上登录微信，请先登录账户。,"Nếu bạn chưa đăng nhập trên điện thoại hay máy tính bảng, hãy tiến hành ngay."
213,4. 在电脑浏览器中前往 https://web.wechat.com 。,"4. Trên máy tính, bạn điều hướng đến địa chỉ https://web.wechat.com."
213,你可以使用任意浏览器打开页面，如Safari或Chrome浏览器。,Bạn có thể sử dụng bất kỳ trình duyệt web nào như Safari hay Chrome.
213,5. 用移动设备扫描屏幕上的二维码。,5. Sử dụng thiết bị di động của bạn để quét mã QR trên màn hình.
213,6. 在移动设备上点击登录按钮。,6. Nhấn vào Log In (Đăng nhập) trên thiết bị di động.
213,- 如果想要退出网页版微信，点击左上角的☰按钮，选择退出。,"- Để đăng xuất WeChat trên máy tính, bạn nhấp vào nút hình ☰ nằm đầu cột bên trái, sau đó chọn Log Out."
213,方法 2,Phương pháp 2
213,方法 2 的 3:,Phương pháp 2 của 3:
213,使用Windows版微信,Sử dụng WeChat trên Windows
213,1. 在网络浏览器中前往 http://www.wechat.com/en/ 。,1. Truy cập http://www.wechat.com/en/ trên trình duyệt web.
213,这个方法会将微信应用程序下载到Windows电脑上。,Phương pháp này sẽ giúp bạn tải ứng dụng WeChat xuống máy tính Windows.
213,同时，你需要手边准备好你的安卓、iPhone或iPad设备。,"Bạn cũng cần dùng đến thiết bị Android, iPhone hoặc iPad của mình."
213,2. 点击屏幕上的Windows图标。,2. Nhấp vào biểu tượng Windows trên màn hình máy tính.
213,它位于屏幕中央，是第二个白色图标。,Đây là biểu tượng màu trắng thứ hai ở gần giữa màn hình.
213,- 不要点击第一个Windows图标（不带有电脑屏幕），这个图标会显示进入Windows移动设备版本程序的下载界面。,- Bạn cần chắc rằng mình không nhấp vào biểu tượng Windows đầu tiên (không có hình màn hình máy tính) vì tùy chọn đó sẽ đưa bạn đến trang tải xuống dành cho thiết bị di động Windows.
213,3. 点击下载。,3. Nhấp vào Download (Tải xuống).
213,它是一个绿色的按钮，位于屏幕左侧。,Nút màu xanh lá này nằm gần bên trái màn hình.
213,4. 选择一个文件夹，点击保存。,4. Chọn thư mục rồi nhấp vào Save (Lưu).
213,5. 打开微信安装程序。,5. Mở chương trình cài đặt WeChat.
213,完成下载后，浏览器窗口的底部会出现一个安装程序的链接。,"Sau khi quá trình tải xuống hoàn tất, bạn sẽ thấy liên kết đến chương trình cài đặt hiện ra cuối cửa sổ trình duyệt."
213,点击它。,Hãy nhấp vào đó.
213,如果没有看到这个链接，进入保存文件的文件夹（通常是下载文件夹），找到安装文件并双击运行它。,"Nếu không thấy đường dẫn nào, bạn có thể đi đến thư mục mà bạn lưu tập tin (thường là thư mục Downloads), sau đó nhấp đúp vào tập tin để chạy chương trình."
213,6. 点击是，授权并允许安装微信程序。,6. Nhấp vào Yes để cấp quyền cài đặt WeChat.
213,7. 点击安装微信。,7. Nhấp vào Install WeChat (Cài đặt WeChat).
213,完成安装后，会出现一条确认信息和一个“运行”绿色按钮。,"Sau khi hoàn tất, bạn sẽ thấy thông báo xác nhận cùng nút “Run” (Chạy) màu xanh lá."
213,8. 点击运行。,8. Nhấp vào Run.
213,9. 在移动设备上打开微信程序。,9. Mở WeChat trên thiết bị di động.
213,你可以使用安装了微信程序的手机或平板。,Bạn có thể sử dụng điện thoại hoặc máy tính bảng có cài sẵn ứng dụng WeChat.
213,12. 用移动设备扫描屏幕上的二维码。,12. Sử dụng thiết bị di động của bạn để quét mã QR trên màn hình.
213,13. 点击移动设备上的登录按钮。,13. Nhấn vào Enter trên thiết bị di động.
213,- 如果以后想要登录微信，直接点击Windows菜单里的微信。,"- Để đăng nhậpWeChat trong tương lai, bạn chỉ cần nhấp vào WeChat trong thực đơn Windows."
