src_id,zh,vi
5,写给自己的第5封信 很多时候你在奋力拼搏后未能获得你想要的， 并不是因为你不配， 而 将如此努力的自己继续保持下 只是咬紧牙关， 只是时机未到， 你要做的， 仅此， 而已。,"Bức thư viết cho chính mình số 005 Có nhiều lúc bạn đã cố gắng hết sức bình sinh và nỗ lực không mệt mỏi nhưng vẫn chưa thể có được những thứ bạn muốn, không phải vì bạn không xứng mà đôi tiếp tục để bản thân mình vẫn cố gắng như thế, nỗ lực hơn thế nữa, chỉ có vậy thôi."
12,是生命的一部分。,Nhưng đây cũng là một phần của cuộc sống.
23,写给自己的第23封信 我不 因为我没有成就; 我不敢说累， 我不敢休息，因为我没有存款； 但是我不能选择放弃。,Bức thư viết cho chính mình số 023 Tôi không dám nghỉ ngơi vì vẫn chưa có một khoản tiết kiệm nào của riêng mình; tôi không dám kêu mệt vì tôi vẫn chưa thành công; tôi không dám lười biếng vì tôi vẫn còn đang phải sống; tôi có thể từ bỏ lựa chọn nhưng không thể lựa chọn từ bỏ.
33,写给自己的第33封信 不去做不喜欢的事； 努力一点， 有时候， 为了能 是为让自己有资格， 不会因为， 遇见一个喜欢的人时， 让自己， 自己不够好而没能留住对方； 为了看清自己最后 为了避免， 与朋友拉开差距未来也能看到同一个世界； 能走到哪里。,"Bức thư viết cho chính mình số 033 Đôi khi, bạn nỗ lực một chút là để cho mình có vị trí tốt và không phải làm việc mình không thích; để khi gặp được một người mình thích, không phải vì bản thân không đủ tốt mà đánh mất người đó; để bạn bè cho dù có xa cách nhau bao lâu nhưng tương lai vẫn có thể trở về bên nhau; để chúng ta tự nhìn rõ đích cuối bản thân sẽ đến là đâu."
45,写给自己的第45封信 每天多一点点的努力， 只为了日后能够多一些选择， 选择 不为别的，- 云卷云舒的小日子， 选择自己喜欢的人。,"Bức thư viết cho chính mình số 045 Mỗi ngày tôi cố gắng hơn một chút chẳng phải vì điều gì to tát, chẳng qua chính là để có nhiều lựa chọn hơn trong tương lai: Chọn một cuộc sống an nhàn giản đơn hay có thể tự do lựa chọn người mình thích."
52,写给自己的第52封信 如果自己没有尽力， 就没有资格批评别人不用心。,"Bức thư viết cho chính mình số 052 Nếu bản thân đang không cố gắng hết sức, thì bạn không có tư cách để chỉ trích người khác không cố gắng."
60,写给自己的第60封信 第一个是坚持到底， 就只有两个： 如果有的话， 成功根本没有秘诀， 请回过头来再照着第一个秘诀 第二个就是当你想放弃的时候， 永不放弃； 去做。,"Bức thư viết cho chính mình số 060 Thành công vốn chẳng có bí quyết to tát nào cả, nếu có, chỉ là hai thứ: Thứ nhất là sự kiên trì đến cuối cùng, không bao giờ bỏ cuộc; thứ hai là khi bạn muốn bỏ cuộc, hãy quay lại để hoàn thành điều thứ nhất."
67,写给自己的第67封信 但努力奋斗的理由只有一个， 那就是让自己有 放弃的理由有很多个， 权选择自己想要的生活。,Bức thư viết cho chính mình số 067 Để từ bỏ một điều gì đó có rất rất nhiều lí do nhưng lí do để cố gắng nỗ lực thì chÍ có một mà thôi: Đó chính là để bản thân có quyền tự do lựa chọn một cuộc sống như ý muốn.
70,写给自己的第70封信 明天也不努力， 如果今天不努力， 那么你的人生只是在重复而已。,"Bức thư viết cho chính mình số 070 Nếu như ngày hôm nay không cố gắng, ngày mai cũng không nỗ lực, thì cả đời này bạn sẽ chỉ sống những ngày giống nhau lặp đi lặp lại mà thôi."
85,谁说你就永远不会变了?,Ai nói rằng bạn mãi mãi không thay đổi?
95,写给自己的第95封信 在有限的时间内尽力解决， 给每一个烦恼一段期限， 请 剩下的时间， 还给快乐的自己。,Bức thư viết cho chính mình số 095 Hãy gia hạn cho mỗi nỗi buồn đế trong thời gian cố định đó bạn phải cố gắng giải quyết cho xong.
106,写给自己的第106封信 抱怨是一件最没意义的事情。,Bức thư viết cho chính mình số 106 Than phiền là một việc làm vô nghĩa nhất.
117,写给自己的第117封信 长在心底的善良， 融进血 做人这四样东西必须有： 扬在脸上的自信， 里的骨气，刻进生命里的坚强。,"Bức thư viết cho chính mình số 117 Làm người thì nhất định phải có bốn điều sau: Một gương mặt tràn đầy tự tin, một tấm lòng chân thành lương thiện, một khí phách ngấm sâu vào máu và một tỉnh thần kiên cường thể hiện trong lối sống."
119,写给自己的第119封信 有能力保 是为了让自己拥有更多的选择权， 我们之所以要不断奋斗， 是为了在面对这个世界的 并有底气远离自己所厌恶的，- 护自己所珍惜的， 奋斗带给我们的， 可以用自己的能力去对抗。,Bức thư viết cho chính mình số 119 Chúng ta sở dĩ phải không ngừng phấn đấu là vì để bản thân có quyền được cũng là để có sức mạnh tránh xa khỏi những điều mình ghét; là để khi đối mặt với của mình.
120,写给自己的第120封信 讨厌你的人越多。,Bức thư viết cho chính mình số 120 Bạn càng xuất sắc thì người ghét hận bạn càng nhiều.
120,你越出色， 恨你的人越多。,Bạn càng tốt thì người ghét bạn cũng nhiều theo.
