src_id,zh,vi
2327,实际上，至少在患有神经病变的情况下，这通常不是本研究中 SSA 的首发症状。,"Trên thực tế, ít nhất là khi có mặt chứng bệnh thần kinh, điều này thường không phải là triệu chứng ban đầu trong nghiên cứu SSA này."
2328,它分解成其他抗体，但这可能包括 SSA，SSA 在这组患者中只有 10% 不正常，事实上，在我看来，仅仅是我的意见，在我看来，这可能是,"nó phân hủy thành các kháng thể khác, nhưng điều đó có thể bao gồm SSA, SSA bất thường ở chỉ 10% bệnh nhân trong nhóm này, và thực tế, theo ý kiến ​​của tôi, chỉ là một ý kiến, theo ý kiến ​​của tôi, có lẽ"
2329,SSA 在诊断干燥综合征中的敏感性，如果异常，这很有帮助，但如果正常，我们可能错过了 90% 的小唾液腺活检患者。,"Độ nhạy của SSA trong chẩn đoán hội chứng Sjögren: nếu bất thường, điều này hữu ích, nhưng nếu  bình thường, chúng ta có thể bỏ lỡ  90% những người bị sinh thiết tuyến nước bọt nhỏ."
2330,他们报告说，在 33 人中，有 73% 的人接受了唾液腺活检，至少根据这些数据，我们可能错过了四分之一或更多患有干燥综合征的患者，我可以告诉你，我们还没有。,"Họ đã báo cáo rằng 73% trong số 33 người đó đã được xét nghiệm sinh thiết tuyến nước bọt nhỏ, vì vậy ít nhất dựa trên dữ liệu này, chúng ta có thể bỏ lỡ bệnh Sjögren ở một phần tư số bệnh nhân hoặc nhiều hơn."
2334,发生在后来，所以他们查看了自主神经测试，并且这组人群中只有一人有明显自主神经症状，那么它是否与异议性 Omiya 以及我们正在讨论的内容相关？,"Chúng xảy ra sau đó, vì vậy họ đã xem xét các xét nghiệm tự trị và chỉ một trong số những người trong nhóm này có các triệu chứng tự trị đáng kể, vậy nó có liên quan đến dissident Omiya và những gì chúng ta đang nói về không?"
2335,来自日本的经典论文之一研究了自主神经功能障碍。,Một trong những bài báo kinh điển từ Nhật Bản đã nghiên cứu về rối loạn chức năng tự động.
2338,可能会影响自主神经节，因此存在自主神经和它们的自主神经节，神经节可以认为是细胞体，它是自主神经的控制结构,"Có thể ảnh hưởng đến các hạch tự động, do đó có các dây thần kinh tự động và các hạch tự động của chúng, các hạch là, bạn có thể nghĩ về chúng như là thân tế bào, nó là cấu trúc điều khiển của các dây thần kinh tự động"
2339,因此，干燥综合征似乎偏爱影响自主神经节，因此，它们似乎特别容易受到干燥综合征患者免疫介导的攻击，所以其他,"Vì vậy, hội chứng Sjögren dường như có khuynh hướng ảnh hưởng đến hạch thần kinh tự chủ, và chúng dường như đặc biệt dễ bị tấn công do miễn dịch ở những người bị hội chứng Sjögren, vì vậy những"
2344,请记住，我很快就会谈到这一点，正如我之前提到的，尽管可能没有得到充分认识，但已被描述为自主神经功能障碍在儿童中很常见。,"Hãy nhớ rằng tôi sẽ đề cập đến điều này trong thời gian ngắn, như tôi đã đề cập trước đó, mặc dù có thể không được công nhận rộng rãi, nhưng nó đã được mô tả là rối loạn chức năng tự động là phổ biến ở trẻ em."
2347,风湿病学文献中一项非常重要的研究关注了 317 名患有干燥综合征的患者，该研究表明，当患者出现自主神经症状时，他们的疾病指数评分会更高。,"Văn bản y khoa về bệnh thấp khớp đã cho thấy một nghiên cứu thực sự quan trọng xem xét 317 bệnh nhân mắc hội chứng Sjögren, đã chứng minh rằng những bệnh nhân này có điểm số chỉ số bệnh cao hơn khi họ có các triệu chứng tự chủ."
2349,现在，我们已经达到了 70 到 80 人，这是一个相当大的群体。,"Và bây giờ, tại thời điểm này, chúng ta đã lên đến đâu đó từ 70 đến 80 người, đây là một nhóm khá lớn."
2350,我们已经诊断出，或者说程度较轻，其他人诊断出患有干燥综合征，所以几乎所有人……所以这是我们目前所看的数据，几乎所有人都像我之前提到的那样是女性,"Chúng tôi đã chẩn đoán, hoặc ở mức độ nhẹ hơn, những người khác đã chẩn đoán mắc bệnh Sjögren, vì vậy hầu như mọi người… đó là dữ liệu mà chúng tôi đã xem xét cho đến nay, hầu như tất cả đều là phụ nữ như tôi đã đề cập trước đó"
2351,在诊断为干燥综合征之前，平均症状持续时间为 11 年。,Thời gian trung bình của các triệu chứng trước khi chẩn đoán hội chứng Sjögren là 11 năm.
2354,该机构发现，当对部分患者进行测试时，他们的胃肠道系统出现异常的运动功能。,"Tổ chức đã phát hiện ra rằng khi được kiểm tra, một số bộ phận của hệ tiêu hóa có nhu động bất thường."
2355,唾液腺活检，大多数患者，我们诊断的大多数患者在临床上患有肥大细胞活化障碍，因此，我经常遇到的问题之一是,"Sinh thiết tuyến nước bọt, hầu hết bệnh nhân, phần lớn bệnh nhân mà chúng tôi đã chẩn đoán lâm sàng mắc chứng rối loạn hoạt hóa tế bào mast, vì vậy một trong những điều thường xuyên xảy ra là tôi"
2357,如果眼科医生或牙医提到过口干，如果有人有严重的胃肠动力障碍并且闻起来像贝壳烧伤，我会做一个小唾液腺活检，如果发现有,"và khô miệng nếu bác sĩ nhãn khoa hoặc nha sĩ đã đề cập đến nó, nếu ai đó có chứng rối loạn vận động đường tiêu hóa đáng kể và mùi như cháy vỏ sò, tôi có thể thực hiện sinh thiết tuyến nước bọt nhỏ nếu có"
2358,有趣的是，如果...,Một trong những điều thú vị đối với tôi là nếu ...
2359,也许是因为甲状腺正好位于这里，暴露在我们闻到的、吃到的、喝到的、环境中的所有东西。,"Có thể bởi vì tuyến giáp nằm ngay đây và tiếp xúc với mọi thứ chúng ta ngửi, ăn, uống và môi trường."
2362,正在查看细胞因子谱，希望能更好地了解自身抗体，我时间不多了，但我想快速谈谈治疗方法，以及我如何治疗干燥综合征，儿童的治疗方法很难。,"Tôi đang xem xét hồ sơ cytokine và hy vọng hiểu rõ hơn về kháng thể tự miễn, tôi không còn nhiều thời gian nhưng tôi sẽ nhanh chóng nói về phương pháp điều trị, cách tôi điều trị hội chứng Sjögren, vì việc điều trị trẻ em rất khó."
2363,可以看出，绝大多数变异导致电流密度降低，只有两个变异导致电流密度显着增加。,"Có thể thấy rằng phần lớn các biến thể dẫn đến giảm mật độ dòng điện, chỉ có hai biến thể dẫn đến tăng đáng kể."
2364,蓝色区域的变异似乎与红色区域标记的严重癫痫性脑病病例相关联的变异没有明显的区分。,"màu xanh lam, dường như không tách biệt mạnh mẽ với các biến thể liên quan đến các trường hợp động kinh não nghiêm trọng được đánh dấu màu đỏ."
2364,对这一分析的一种可能的解释是,Một cách giải thích tiềm năng cho phân tích này là
