src_id,zh,vi
637,而且，无烤曲奇的种类几乎和烤制曲奇的种类一样多。,Bánh quy không nướng cũng đa dạng không kém gì bánh quy nướng tiêu chuẩn.
637,如果你想学习一些能够满足自己甜食欲望的无烤曲奇配方的话，就接着往下读吧。,Hãy đọc tiếp nếu bạn có hứng thú học vài công thức làm món bánh có thể giúp bạn thỏa mãn cơn thèm ngọt.
637,素材,Nguyên liệu
637,- 2杯（500毫升）糖,- 2 cốc (400 g) đường
637,- 2杯（500毫升）糖,- 2 cốc (400 g) đường
637,- 1/2杯（125毫升）黄油,- ½ cốc (120 g) bơ
637,步骤,Các bước
637,方法 1,Phương pháp 1
637,方法 1 的 4:,Phương pháp 1 của 3:
637,2. 混合糖、黄油、牛奶和可可粉。,"2. Cho đường, bơ, sữa và bột ca cao vào nồi."
637,5. 用勺子在蜡纸上涂抹大的团块。,5. Dùng thìa múc bột đặt lên giấy nến.
637,方法 2,Phương pháp 2
637,方法 2 的 4:,Phương pháp 2 của 3:
637,1. 把蜡纸铺在烤板上。,1. Lót giấy nến vào khay nướng.
637,降至中低火，加入剩下的原料。,Vặn lửa xuống mức nhỏ vừa và cho các nguyên liệu còn lại vào nồi.
637,方法 3,Phương pháp 3
637,方法 3 的 4:,Phương pháp 3 của 3:
637,- 大勺子或小铲,- Thìa to hoặc phới
637,- 蜡纸，羊皮纸，硅胶烤盘或铝箔,"- Giấy nến, khay silicone hoặc giấy bạc"
637,- 烤板或烤盘,- Khay nướng hoặc chảo nướng
637,- 冰箱或冷冻箱,- Tủ lạnh hoặc tủ đông
637,- 火炉,- Bếp
637,- 茶匙或汤匙,- Thìa cà phê hoặc thìa canh
638,步骤,Các bước
638,方法 1,Phương pháp 1
638,方法 1 的 2:,Phương pháp 1 của 2:
638,1. 将音乐文件加入到你的资料库。,1. Thêm nhạc vào thư viện iTunes.
638,"在iTunes里, 去文件>> 添加到资料库, 然后选择文件。","Mở iTunes, vào File (Tệp) >> Add File to Library (Thêm vào thư viện), sau đó chọn file cần thêm."
638,iTunes会将它加入到你的资料库。,iTunes sẽ cập nhật tệp đó vào thư viện của bạn.
638,2. 通过一根USB线连接你的iPhone到电脑。,2. Kết nối máy tính với iPhone thông qua dây nối USB.
638,3. 打开iTunes。,3. Mở iTunes.
638,"当你的设备连接时，一个""iPhone""的按键会跳到左侧或右上角（取决于你的手机版本）。","Khi thiết bị của bạn đã kết nối, biểu tượng ""iPhone"" sẽ xuất hiện ở phía góc trái hoặc góc phải màn hình (tùy thuộc vào phiên bản iTunes của bạn) cho phép bạn có thể truy cập vào mục Cài đặt của điện thoại."
638,点击这个键。,Nhấp chuột vào biểu tượng này.
638,4. 在顶部的亚菜单栏选择“音乐”。,"4. Chọn mục ""Music"" phía trên cùng của thanh công cụ."
638,5. 确定你勾选了顶部的“同步音乐”。,"5. Hãy chắc chắn rằng bạn đã ấn chọn vào ô ""Sync Music"" (Đồng bộ hóa Nhạc) ở phía trên cùng."
638,如果你没有选的话，而是选了“已选的播放列表、专辑和类别”，那么勾选播放列表、艺术家、专辑、或类别旁边的你想添加的歌。,"Nếu không, bạn có thể tích vào ô ""Selected playlists, Artists, Albums, Genres"" (Danh sách phát, Nghệ sỹ, Album và Thể loại Được chọn) sau đó tích vào ô tương ứng với danh sách, nghệ sỹ, album và thể loại nhạc mà bạn muốn thêm vào."
638,6. 点击底部的“应用”，确认你的改变。,"6. Tích vào ô ""Apply"" (Chọn) ở cuối để xác nhận thay đổi."
638,你的新歌将会被添加到你的手机。,Bài hát mới của bạn sẽ được thêm vào.
638,方法 2,Phương pháp 2
638,方法 2 的 2:,Phương pháp 2 của 2:
638,在iTunes上购买音乐,Mua Bài hát trên iTunes
638,1. 你可以用手机从iTunes上直接购买音乐，然后即时下载。,1. Bạn có thể mua nhạc trên iTunes trực tiếp bằng điện thoại và tải về ngay lập tức qua mạng.
638,打开手机上的iTunes应用程序。,Hãy mở ứng dụng iTunes trên điện thoại của bạn.
638,2. 找到你想购买的音乐。,2. Tìm bài hát mà bạn muốn tải.
