src_id,zh,vi
3490,如果它没有比我们现有的诊断方法更好，那么这就是我们要面对的挑战。,Nếu nó không tốt hơn các chẩn đoán hiện tại mà chúng ta có.
3490,- 是的，你提了一个重要的问题。,"- Vâng, bạn đã nêu lên một điểm quan trọng."
3491,因为我知道，很多肺结核都发生在发展中国家，那里资源非常有限。,"Bởi vì tôi biết rằng rất nhiều bệnh lao xảy ra ở các nước đang phát triển, nơi mà nguồn lực rất hạn chế."
3492,那么，有没有努力试图使之变得超级稳固？,"Vậy, có nỗ lực nào để cố gắng làm cho điều này trở nên siêu mạnh mẽ không?"
3492,很多这类测试必须在帐篷里进行，,"Rất nhiều thử nghiệm này phải được tiến hành trong những cái lều,"
3493,或者像提供其他服务的临时医院一样。,hoặc như bệnh viện tạm thời cũng cung cấp các dịch vụ khác.
3494,如何才能让它既健壮又便宜？,Làm cách nào để điều này trở nên mạnh mẽ và rẻ tiền?
3494,- 没错。,- Chính xác.
3494,所以我会说关于健壮的部分。,"Vì vậy, tôi sẽ nói về phần mạnh mẽ."
3494,便宜的部分是……,Phần rẻ tiền là nơi…
3496,产量提高，价格将大幅下降。,"Sản xuất tăng lên, giá cả sẽ giảm mạnh."
3496,20年前，需要几百个,"20 năm trước, cần vài trăm"
3497,所以同样的事情也会发生，,"Vì vậy, điều tương tự sẽ xảy ra,"
3498,但我认为随着使用量的增加，这将比 20 年更快发生。,Nhưng tôi nghĩ điều đó sẽ xảy ra nhanh hơn 20 năm khi việc sử dụng tăng lên.
3498,- 是的，事情似乎就是这样发展的。,"- Vâng, và dường như đó là cách mọi việc có thể diễn ra."
3499,当你最初展示它有效时，它会突然为不同的人创造一个完整的生态系统。,"Khi bạn chứng minh ban đầu rằng nó hoạt động, điều đó đột nhiên tạo ra một hệ sinh thái hoàn chỉnh cho nhiều người khác nhau."
3501,在真正需要的地方。,ở những nơi thực sự cần thiết.
3501,- 没错，所以我的目标是一再地在不同的患者群体中反复证明这一点，,"- Chính xác, vì vậy mục tiêu của tôi là chứng minh lặp đi lặp lại trong các nhóm bệnh nhân khác nhau,"
3502,它在不同的国家都能起作用。,Nó hoạt động ở các quốc gia khác nhau.
3502,它在临床上很有用，它可以在诊所翻译，然后这将吸引更多人,"Nó hữu ích về mặt lâm sàng, nó có thể được dịch ở phòng khám, và điều đó sẽ thu hút nhiều người hơn"
3503,- 好的。,- Đúng rồi.
3504,也就是说，您知道，预测哪些药物对患者最有效。,"Nói cách khác, bạn biết đấy, dự đoán xem loại thuốc nào sẽ tốt nhất cho bệnh nhân."
3505,您打算如何处理它？,Và bạn sẽ giải quyết nó như thế nào?
3505,- 嗯，我们可以想象两种情况。,"- Ừ, vậy thì có hai điều chúng ta có thể tưởng tượng."
3506,大多数药物对所有患者都不起作用，只有一部分患者有反应。,"Hầu hết các loại thuốc không hiệu quả với tất cả bệnh nhân, chỉ một phần nhỏ bệnh nhân phản ứng."
3507,在传染病中，这个问题在脓毒症中非常明显。,"Trong các bệnh truyền nhiễm, vấn đề cụ thể đó rất rõ ràng trong nhiễm trùng huyết."
3508,"加州每位脓毒症患者在重症监护室中一天的费用为 19,000 美元。",Mỗi bệnh nhân nhiễm trùng huyết ở California tốn 19.000 đô la mỗi ngày ở ICU.
3508,而且，这只是中间价格。,Và đó là mức giá trung bình.
3509,它可能要高得多，对吧？,"Nó có thể cao hơn nhiều, phải không?"
3509,所以问题是，如果你看看文献，,"Vậy vấn đề là, nếu bạn xem trong tài liệu,"
3510,大约 150 种药物都尝试过了，但都失败了，没有一种药物有效。,"Khoảng 150 loại thuốc đã được thử nghiệm và tất cả đều thất bại, không có một loại thuốc nào hiệu quả."
3510,Xigris 曾经被批准过。,Có Xigris đã được phê duyệt.
3511,然后在上市后，它失败了，因为它对每个人都不起作用。,"Và sau đó, sau khi được đưa ra thị trường, nó đã thất bại vì nó không hiệu quả với tất cả mọi người."
3512,好的，重症监护室大约 45% 的死亡率是由于败血症造成的。,"Đúng vậy, khoảng 45% tỷ lệ tử vong ở ICU là do nhiễm trùng huyết."
3512,我们现在开始了解的是，,"Và điều chúng tôi bắt đầu học được bây giờ là,"
3513,因此，我们可以,"Vì vậy, chúng ta có thể,"
3514,感谢拉胡尔和整个NIA团队的出色技术支持。,Cảm ơn Rahul và toàn bộ nhóm NIA vì sự hỗ trợ kỹ thuật tuyệt vời.
3515,请使用聊天功能向演示者提问。,Vui lòng sử dụng tính năng trò chuyện để đặt câu hỏi cho người thuyết trình.
3516,那些没有出现的人无法使用麦克风或摄像头。,Những người không tham dự không có quyền truy cập vào micrô hoặc camera.
3516,但是，在特殊情况下或某些情况下，,"Tuy nhiên, trong những trường hợp ngoại lệ hoặc trong một số trường hợp,"
